Region,Overall_Score,Math Score ,Reading Score ,Science Score ,Population,Unemployemt Rate,Male Unemployemt Rate,Female Unemployemt Rate,Unemployemt,MU,FU,Income Group,ASM,Math Score ,Reading Score ,Science Score ,ASF,Math Score ,Reading Score ,Science Score ,Legend 
Albania,367,368,358,376,"2,791,765",11.60%,11.70%,11.40%,3238,3266,3183,Lower-middle-income,367,368,358,376,367,367,358,376,Average Score of Female = ASF
Argentina,395,378,401,406,"45,696,159",6.20%,5.70%,6.80%,28332,26047,31073,Upper-middle-income,395,378,401,406,389,395,378,395,Average Score of Memale = ASM
Australia,497,487,498,507,"26,713,205",3.70%,3.80%,3.60%,9884,10151,9617,High-income,497,487,498,507,493,498,487,495,Male Unemployemt = MU
Austria,486,487,480,491,"9,120,813",5.20%,5.50%,5%,4743,5016,4560,High-income,486,487,480,491,485,486,479,490,Female Unemployemt = FU
Azerbaijan,381,397,365,380,"10,336,577",5.60%,4.80%,6.50%,5788,4962,6719,Lower-middle-income,381,397,365,380,374,381,365,376,Overall Pisa Score = AS
Belgium,486,489,479,491,"11,738,763",5.50%,5.90%,5%,6456,6926,5869,High-income,486,489,479,491,482,478,479,490,
Brazil,397,379,410,403,"211,998,573",8.00%,6.60%,9.70%,169599,139919,205639,Upper-middle-income,397,379,410,403,396,397,397,395,
Brunei,439,442,429,446,"462,721",5.30%,4.80%,6%,245,222,278,High-income,439,442,429,445,439,442,429,445,
Bulgaria,414,417,404,421,"6,757,689",4.30%,4.40%,4.20%,2906,2973,2838,Lower-middle-income,414,417,404,421,409,404,404,420,
Cambodia,337,336,329,347,"17,638,801",0.20%,0.20%,0.30%,353,353,529,Low-income,337,336,329,347,335,329,329,347,
Canada,506,497,507,515,"39,742,430",5.40%,5.50%,5.20%,21461,21858,20666,High-income,506,497,507,515,501,507,495,500,
Chile,435,412,448,444,"19,764,771",9.00%,8.80%,9.40%,17788,17393,18579,Upper-middle-income,435,412,448,444,439,448,435,433,
China,520,540,500,520,"1,419,321,278",4.70%,5.20%,4.10%,667081,738047,581922,Upper-middle-income,524,522,529,521,524,522,529,521,
Colombia,401,383,409,411,"52,886,363",9.60%,7.90%,11.90%,50771,41780,62935,Upper-middle-income,401,383,409,411,409,409,409,410,
Costa Rica,404,385,415,411,"5,129,910",8.30%,7.10%,10.20%,4258,3642,5233,Upper-middle-income,404,385,415,411,408,411,405,409,
Croatia,474,463,475,483,"3,875,325",6.10%,5.60%,6.60%,2364,2170,2558,Upper-middle-income,474,463,475,483,480,483,475,481,
Cyprus,403,418,381,411,"1,358,282",6.00%,6%,5.90%,815,815,801,Upper-middle-income,403,418,381,411,391,381,381,411,
Czech Republic,491,487,489,498,"10,735,859",2.60%,2.20%,3.10%,2791,2362,3328,Upper-middle-income,491,487,489,498,495,498,489,498,
Denmark,491,489,489,494,"5,977,412",5.10%,5%,5.30%,3048,2989,3168,High-income,491,489,489,494,492,494,489,494,
Dominican Republic,350,339,351,360,"11,427,557",5.60%,3.50%,8.50%,6399,4000,9713,Lower-middle-income,350,339,351,360,356,349,360,360,
El Salvador,360,343,365,373,"6,338,193",2.80%,2.50%,3.10%,1775,1585,1965,Lower-middle-income,360,343,365,373,368,365,365,373,
Estonia,516,510,511,526,"1,360,546",6.30%,6.10%,6.60%,857,830,898,High-income,516,510,511,526,521,526,511,526,
Finland,495,484,490,511,"5,617,310",7.20%,7.80%,6.40%,4044,4382,3595,High-income,495,484,490,511,504,511,490,511,
France,478,474,474,487,"66,548,530",7.30%,7.50%,7.20%,48580,49911,47915,High-income,478,474,474,487,483,487,474,487,
Georgia,383,390,374,384,"3,807,670",11.60%,12.90%,10.20%,4417,4912,3884,Lower-middle-income,383,390,374,384,377,374,374,384,
Germany,482,475,480,492,"84,552,242",3.00%,3.30%,2.80%,25366,27902,23675,High-income,482,475,480,492,488,492,480,492,
Greece,436,430,438,441,"10,047,817",11.00%,8.40%,14.20%,11053,8440,14268,Upper-middle-income,436,430,438,441,440,441,438,441,
Guatemala,364,344,374,373,"18,406,359",2.70%,1.90%,4.20%,4970,3497,7731,Low-income,364,344,374,373,374,374,374,373,
Hungary,477,473,473,486,"9,676,135",4.10%,4.10%,4.20%,3967,3967,4064,Upper-middle-income,477,473,473,486,482,486,473,486,
Iceland,447,459,436,447,"393,396",3.60%,3.90%,3.20%,142,153,126,High-income,447,459,436,447,443,447,436,447,
Indonesia,369,366,359,383,"283,487,931",3.40%,3.60%,3.10%,96386,102056,87881,Lower-middle-income,369,366,359,383,375,383,359,383,
